************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   0   1  13.28349    6.6484   5.51518e-04    0.0%   2     1   147.959
  1   0   0  11.78361    7.4958   1.48096e+00  100.0%   2     1   116.274
  1   0  -1  10.33848    8.5454   3.62884e-01   24.5%   2     2    89.332
  1   0   1   7.81290   11.3156   1.35016e-02    0.9%   2     2    50.700
  0   0   2   6.64174   13.3193   7.55283e-01   51.0%   2     4    36.436
  1   0  -2   6.61619   13.3709   1.45839e-03    0.1%   2     5    36.151
  0   1   1   6.36790   13.8948   1.15042e+00   77.7%   2     2    33.434
  0   1  -1   6.36790   13.8948   1.15042e+00   77.7%   2     2    33.434
  1   1   0   6.17857   14.3228   1.75459e-01   11.8%   4     2    31.433
  2   0  -1   6.03591   14.6631   1.54912e-01   10.5%   2     5    29.965
  1   1  -1   5.93920   14.9033   8.37531e-03    0.6%   2     3    28.989
 -1   1   1   5.93920   14.9033   8.37531e-03    0.6%   2     3    28.989
  2   0   0   5.89181   15.0238   2.12644e-01   14.4%   2     4    28.517
  1   1   1   5.31675   16.6598   4.26440e-01   28.8%   2     3    23.088
  1  -1   1   5.31675   16.6598   4.26440e-01   28.8%   2     3    23.088
  1   0   2   5.20597   17.0169   5.35507e-02    3.6%   2     5    22.106
  2   0  -2   5.16924   17.1387   1.34338e-01    9.1%   2     8    21.785
  2   0   1   4.90875   18.0556   1.66799e-01   11.3%   2     5    19.574
  0   1   2   4.89921   18.0910   1.45329e-01    9.8%   2     5    19.495
  0   1  -2   4.89921   18.0910   1.45329e-01    9.8%   2     5    19.495
 -1   1   2   4.88893   18.1294   4.99186e-01   33.7%   2     6    19.411
  1   1  -2   4.88893   18.1294   4.99186e-01   33.7%   2     6    19.411
  2   1  -1   4.64030   19.1097   8.90428e-02    6.0%   2     6    17.416
 -2   1   1   4.64030   19.1097   8.90428e-02    6.0%   2     6    17.416
  1   0  -3   4.58023   19.3627   3.29562e-02    2.2%   2    10    16.950
  2   1   0   4.57385   19.3899   8.57834e-01   57.9%   4     5    16.900
  0   0   3   4.42783   20.0359   5.98791e-01   40.4%   2     9    15.794
  1   1   2   4.22989   20.9838   4.84921e-01   32.7%   2     6    14.352
  1  -1   2   4.22989   20.9838   4.84921e-01   32.7%   2     6    14.352
  2   1  -2   4.21012   21.0835   3.43969e-01   23.2%   2     9    14.211
 -2   1   2   4.21012   21.0835   3.43969e-01   23.2%   2     9    14.211
  2   0  -3   4.12625   21.5171   2.35953e-01   15.9%   2    13    13.623
  3   0  -1   4.08438   21.7403   4.76555e-01   32.2%   2    10    13.334
  2   1   1   4.06576   21.8411   1.31682e-02    0.9%   2     6    13.206
  2  -1   1   4.06576   21.8411   1.31682e-02    0.9%   2     6    13.206
  3   0   0   3.92787   22.6178   4.01414e-01   27.1%   2     9    12.279
  2   0   2   3.90645   22.7435   1.06533e-01    7.2%   2     8    12.138
  3   0  -2   3.88056   22.8973   4.57559e-01   30.9%   2    13    11.969
 -1   1   3   3.87314   22.9418   2.23565e-02    1.5%   2    11    11.920
  1   1  -3   3.87314   22.9418   2.23565e-02    1.5%   2    11    11.920
  1   0   3   3.81393   23.3028   6.36723e-01   43.0%   2    10    11.537
  0   1   3   3.77967   23.5171   1.80098e-01   12.2%   2    10    11.319
  0   1  -3   3.77967   23.5171   1.80098e-01   12.2%   2    10    11.319
  0   2   0   3.62800   24.5152   7.30390e-02    4.9%   2     4    10.374
 -2   1   3   3.58685   24.8009   3.44396e-02    2.3%   2    14    10.125
  2   1  -3   3.58685   24.8009   3.44396e-02    2.3%   2    14    10.125
  3   1  -1   3.55924   24.9963   1.80689e-01   12.2%   2    11     9.959
 -3   1   1   3.55924   24.9963   1.80689e-01   12.2%   2    11     9.959
  3   0   1   3.51313   25.3298   4.63798e-02    3.1%   2    10     9.685
  0   2   1   3.49981   25.4278   1.17277e-01    7.9%   2     5     9.607
  0   2  -1   3.49981   25.4278   1.17277e-01    7.9%   2     5     9.607
  1   2   0   3.46738   25.6697   8.78464e-02    5.9%   4     5     9.417
  3   1   0   3.45424   25.7691   2.49622e-01   16.9%   4    10     9.341
  1   0  -4   3.45391   25.7715   1.92336e-01   13.0%   2    17     9.339
  3   0  -3   3.44616   25.8305   3.44452e-01   23.3%   2    18     9.294
  2   1   2   3.43964   25.8803   1.14769e-01    7.7%   2     9     9.256
  2  -1   2   3.43964   25.8803   1.14769e-01    7.7%   2     9     9.256
  1   2  -1   3.42333   26.0058   6.42199e-02    4.3%   2     6     9.162
 -1   2   1   3.42333   26.0058   6.42199e-02    4.3%   2     6     9.162
  3   1  -2   3.42193   26.0166   9.24292e-02    6.2%   2    14     9.154
 -3   1   2   3.42193   26.0166   9.24292e-02    6.2%   2    14     9.154
  1   1   3   3.37598   26.3771   2.78849e-01   18.8%   2    11     8.892
  1  -1   3   3.37598   26.3771   2.78849e-01   18.8%   2    11     8.892
  0   0   4   3.32087   26.8229   1.21719e-01    8.2%   2    16     8.582
  2   0  -4   3.30810   26.9284   2.23389e-02    1.5%   2    20     8.511
  1   2   1   3.29053   27.0749   8.77025e-02    5.9%   2     6     8.414
  1  -2   1   3.29053   27.0749   8.77025e-02    5.9%   2     6     8.414
  0   2   2   3.18395   27.9994   1.91298e-02    1.3%   2     8     7.835
  0   2  -2   3.18395   27.9994   1.91298e-02    1.3%   2     8     7.835
 -1   2   2   3.18112   28.0248   9.77915e-03    0.7%   2     9     7.820
  1   2  -2   3.18112   28.0248   9.77915e-03    0.7%   2     9     7.820
  3   1   1   3.16201   28.1976   1.13986e-01    7.7%   2    11     7.718
  3  -1   1   3.16201   28.1976   1.13986e-01    7.7%   2    11     7.718
  2   0   3   3.14826   28.3233   1.33101e-01    9.0%   2    13     7.645
 -1   1   4   3.11862   28.5982   1.92560e-01   13.0%   2    18     7.490
  1   1  -4   3.11862   28.5982   1.92560e-01   13.0%   2    18     7.490
  3   1  -3   3.11291   28.6518   8.31021e-02    5.6%   2    19     7.460
 -3   1   3   3.11291   28.6518   8.31021e-02    5.6%   2    19     7.460
  2   2  -1   3.10952   28.6838   2.96251e-02    2.0%   2     9     7.442
 -2   2   1   3.10952   28.6838   2.96251e-02    2.0%   2     9     7.442
  2   2   0   3.08928   28.8757   6.63145e-02    4.5%   4     8     7.337
  4   0  -1   3.05932   29.1647   1.50875e-01   10.2%   2    17     7.183
  3   0   2   3.03498   29.4039   2.40336e-01   16.2%   2    13     7.058
  0   1   4   3.01964   29.5566   8.23058e-02    5.6%   2    17     6.981
  0   1  -4   3.01964   29.5566   8.23058e-02    5.6%   2    17     6.981
  4   0  -2   3.01796   29.5735   7.15724e-02    4.8%   2    20     6.972
 -2   1   4   3.01003   29.6532   1.30149e-02    0.9%   2    21     6.932
  2   1  -4   3.01003   29.6532   1.30149e-02    0.9%   2    21     6.932
  1   0   4   2.98899   29.8668   5.02252e-01   33.9%   2    17     6.826
  1   2   2   2.97651   29.9949   8.48796e-03    0.6%   2     9     6.764
  1  -2   2   2.97651   29.9949   8.48796e-03    0.6%   2     9     6.764
  3   0  -4   2.97042   30.0578   1.78452e-03    0.1%   2    25     6.734
  2   2  -2   2.96960   30.0664   4.32485e-02    2.9%   2    12     6.730
 -2   2   2   2.96960   30.0664   4.32485e-02    2.9%   2    12     6.730
  4   0   0   2.94590   30.3140   1.69361e-03    0.1%   2    16     6.612
  2   2   1   2.91761   30.6151   1.18688e-02    0.8%   2     9     6.473
  2  -2   1   2.91761   30.6151   1.18688e-02    0.8%   2     9     6.473
  2   1   3   2.88813   30.9354   2.10721e-01   14.2%   2    14     6.330
  2  -1   3   2.88813   30.9354   2.10721e-01   14.2%   2    14     6.330
 -1   2   3   2.84392   31.4287   1.44175e-02    1.0%   2    14     6.118
  1   2  -3   2.84392   31.4287   1.44175e-02    1.0%   2    14     6.118
  4   0  -3   2.83893   31.4853   6.36857e-04    0.0%   2    25     6.095
  4   1  -1   2.81900   31.7137   9.29619e-02    6.3%   2    18     6.000
 -4   1   1   2.81900   31.7137   9.29619e-02    6.3%   2    18     6.000
  0   2   3   2.80629   31.8612   2.19394e-02    1.5%   2    13     5.940
  0   2  -3   2.80629   31.8612   2.19394e-02    1.5%   2    13     5.940
  3   1   2   2.79992   31.9356   3.86013e-02    2.6%   2    14     5.911
  3  -1   2   2.79992   31.9356   3.86013e-02    2.6%   2    14     5.911
  4   1  -2   2.78654   32.0931   2.00470e-01   13.5%   2    21     5.848
 -4   1   2   2.78654   32.0931   2.00470e-01   13.5%   2    21     5.848
  1   1   4   2.76369   32.3657   1.93549e-01   13.1%   2    18     5.742
  1  -1   4   2.76369   32.3657   1.93549e-01   13.1%   2    18     5.742
  1   0  -5   2.75955   32.4156   1.48745e-01   10.0%   2    26     5.723
 -3   1   4   2.74899   32.5435   1.24899e-02    0.8%   2    26     5.675
  3   1  -4   2.74899   32.5435   1.24899e-02    0.8%   2    26     5.675
  4   1   0   2.72952   32.7822   6.15519e-02    4.2%   4    17     5.585
 -2   2   3   2.72460   32.8430   3.74639e-02    2.5%   2    17     5.563
  2   2  -3   2.72460   32.8430   3.74639e-02    2.5%   2    17     5.563
  4   0   1   2.72217   32.8733   1.35388e-02    0.9%   2    17     5.552
  2   0  -5   2.71806   32.9244   9.03721e-02    6.1%   2    29     5.533
  3   2  -1   2.71245   32.9944   4.28772e-03    0.3%   2    14     5.508
 -3   2   1   2.71245   32.9944   4.28772e-03    0.3%   2    14     5.508
  3   2   0   2.66510   33.5978   1.29067e-01    8.7%   4    13     5.295
  2   2   2   2.65838   33.6853   1.07216e-01    7.2%   2    12     5.266
  2  -2   2   2.65838   33.6853   1.07216e-01    7.2%   2    12     5.266
  0   0   5   2.65670   33.7072   7.91146e-05    0.0%   2    25     5.258
  3   2  -2   2.65018   33.7927   6.45597e-02    4.4%   2    17     5.229
 -3   2   2   2.65018   33.7927   6.45597e-02    4.4%   2    17     5.229
  4   1  -3   2.64378   33.8769   8.79423e-03    0.6%   2    26     5.201
 -4   1   3   2.64378   33.8769   8.79423e-03    0.6%   2    26     5.201
  1   2   3   2.62866   34.0777   1.20972e-01    8.2%   2    14     5.135
  1  -2   3   2.62866   34.0777   1.20972e-01    8.2%   2    14     5.135
  3   0   3   2.60430   34.4063   8.77627e-03    0.6%   2    18     5.028
  2   0   4   2.60299   34.4242   1.72711e-01   11.7%   2    20     5.023
  4   0  -4   2.58462   34.6766   5.32135e-04    0.0%   2    32     4.943
 -1   1   5   2.57931   34.7502   1.65132e-03    0.1%   2    27     4.920
  1   1  -5   2.57931   34.7502   1.65132e-03    0.1%   2    27     4.920
  3   0  -5   2.54989   35.1642   1.70412e-03    0.1%   2    34     4.795
  4   1   1   2.54871   35.1810   1.80041e-02    1.2%   2    18     4.790
  4  -1   1   2.54871   35.1810   1.80041e-02    1.2%   2    18     4.790
 -2   1   5   2.54534   35.2292   2.62256e-02    1.8%   2    30     4.776
  2   1  -5   2.54534   35.2292   2.62256e-02    1.8%   2    30     4.776
  3   2   1   2.52379   35.5398   8.89927e-02    6.0%   2    14     4.685
  3  -2   1   2.52379   35.5398   8.89927e-02    6.0%   2    14     4.685
 -1   2   4   2.50157   35.8663   4.74521e-02    3.2%   2    21     4.592
  1   2  -4   2.50157   35.8663   4.74521e-02    3.2%   2    21     4.592
  3   2  -3   2.49862   35.9101   1.00664e-02    0.7%   2    22     4.580
 -3   2   3   2.49862   35.9101   1.00664e-02    0.7%   2    22     4.580
  0   1   5   2.49474   35.9678   3.47711e-03    0.2%   2    26     4.563
  0   1  -5   2.49474   35.9678   3.47711e-03    0.2%   2    26     4.563
  4   0   2   2.45437   36.5801   4.15822e-03    0.3%   2    20     4.397
  3   1   3   2.45120   36.6292   7.71399e-02    5.2%   2    19     4.384
  3  -1   3   2.45120   36.6292   7.71399e-02    5.2%   2    19     4.384
  1   0   5   2.45108   36.6310   2.70322e-02    1.8%   2    26     4.384
  2   1   4   2.45010   36.6461   2.89500e-02    2.0%   2    21     4.380
  2  -1   4   2.45010   36.6461   2.89500e-02    2.0%   2    21     4.380
  0   2   4   2.44961   36.6538   1.47778e-02    1.0%   2    20     4.378
  0   2  -4   2.44961   36.6538   1.47778e-02    1.0%   2    20     4.378
 -2   2   4   2.44447   36.7337   5.48588e-02    3.7%   2    24     4.357
  2   2  -4   2.44447   36.7337   5.48588e-02    3.7%   2    24     4.357
  5   0  -2   2.44278   36.7598   3.81668e-03    0.3%   2    29     4.350
  5   0  -1   2.43868   36.8239   2.30462e-03    0.2%   2    26     4.334
  4   1  -4   2.43477   36.8852   3.89563e-02    2.6%   2    33     4.318
 -4   1   4   2.43477   36.8852   3.89563e-02    2.6%   2    33     4.318
 -3   1   5   2.40567   37.3478   3.64820e-02    2.5%   2    35     4.201
  3   1  -5   2.40567   37.3478   3.64820e-02    2.5%   2    35     4.201
  0   3   1   2.37954   37.7733   1.86380e-03    0.1%   2    10     4.097
  0   3  -1   2.37954   37.7733   1.86380e-03    0.1%   2    10     4.097
  2   2   3   2.37781   37.8018   1.67369e-02    1.1%   2    17     4.090
  2  -2   3   2.37781   37.8018   1.67369e-02    1.1%   2    17     4.090
  1   3   0   2.36927   37.9432   1.43560e-02    1.0%   4    10     4.057
  5   0  -3   2.36788   37.9665   4.42180e-02    3.0%   2    34     4.051
  5   0   0   2.35672   38.1531   2.75300e-04    0.0%   2    25     4.008
  1   3  -1   2.35508   38.1808   9.84916e-02    6.7%   2    11     4.001
 -1   3   1   2.35508   38.1808   9.84916e-02    6.7%   2    11     4.001
  4   2  -1   2.33879   38.4571   4.39680e-02    3.0%   2    21     3.938
 -4   2   1   2.33879   38.4571   4.39680e-02    3.0%   2    21     3.938
  3   2   2   2.32786   38.6449   4.55501e-02    3.1%   2    17     3.896
  3  -2   2   2.32786   38.6449   4.55501e-02    3.1%   2    17     3.896
  4   1   2   2.32497   38.6948   1.00344e-02    0.7%   2    21     3.885
  4  -1   2   2.32497   38.6948   1.00344e-02    0.7%   2    21     3.885
