r	D(r)_75C	D(r)_25C
0.01	-0.15902	-0.32492
0.02	-0.30595	-0.63941
0.03	-0.42903	-0.93336
0.04	-0.51723	-1.19727
0.05	-0.56051	-1.42249
0.06	-0.55015	-1.60155
0.07	-0.47898	-1.72831
0.08	-0.34163	-1.79814
0.09	-0.13465	-1.80809
0.1	0.14335	-1.75691
0.11	0.49167	-1.64514
0.12	0.90754	-1.475
0.13	1.38615	-1.25039
0.14	1.9208	-0.97669
0.15	2.50308	-0.66066
0.16	3.12306	-0.31015
0.17	3.7696	0.06606
0.18	4.4306	0.45858
0.19	5.09332	0.85768
0.2	5.74476	1.25354
0.21	6.37192	1.63657
0.22	6.96222	1.99763
0.23	7.50372	2.32836
0.24	7.98552	2.62129
0.25	8.39794	2.87014
0.26	8.7328	3.0699
0.27	8.98358	3.21696
0.28	9.14558	3.30919
0.29	9.21598	3.34594
0.3	9.1939	3.32804
0.31	9.08038	3.25773
0.32	8.87831	3.13855
0.33	8.5923	2.97522
0.34	8.22857	2.77346
0.35	7.7947	2.5398
0.36	7.29946	2.28137
0.37	6.75253	2.00571
0.38	6.16425	1.72048
0.39	5.54533	1.43333
0.4	4.90661	1.1516
0.41	4.25878	0.88217
0.42	3.61213	0.63128
0.43	2.97631	0.40434
0.44	2.36016	0.20585
0.45	1.77153	0.03927
0.46	1.21713	-0.09304
0.47	0.70245	-0.18982
0.48	0.2317	-0.25093
0.49	-0.1922	-0.27734
0.5	-0.56762	-0.271
0.51	-0.89413	-0.23479
0.52	-1.17245	-0.17239
0.53	-1.40432	-0.08813
0.54	-1.59236	0.01317
0.55	-1.73994	0.12633
0.56	-1.85095	0.24605
0.57	-1.92973	0.36701
0.58	-1.98081	0.48412
0.59	-2.0088	0.59259
0.6	-2.01819	0.68816
0.61	-2.01328	0.76718
0.62	-1.998	0.82671
0.63	-1.97584	0.86465
0.64	-1.94977	0.87972
0.65	-1.9222	0.87154
0.66	-1.89495	0.84059
0.67	-1.86925	0.78821
0.68	-1.84578	0.71648
0.69	-1.8247	0.6282
0.7	-1.80572	0.52672
0.71	-1.78818	0.41584
0.72	-1.77111	0.29965
0.73	-1.75338	0.18241
0.74	-1.73374	0.06834
0.75	-1.71093	-0.03851
0.76	-1.68379	-0.13437
0.77	-1.6513	-0.21598
0.78	-1.6127	-0.28063
0.79	-1.56749	-0.32627
0.8	-1.51548	-0.35164
0.81	-1.45686	-0.35626
0.82	-1.39213	-0.34046
0.83	-1.32214	-0.30541
0.84	-1.24804	-0.25301
0.85	-1.17125	-0.1859
0.86	-1.09339	-0.1073
0.87	-1.01623	-0.02093
0.88	-0.94164	0.06914
0.89	-0.87147	0.15859
0.9	-0.80753	0.24309
0.91	-0.75147	0.31837
0.92	-0.70478	0.38042
0.93	-0.66866	0.42563
0.94	-0.64403	0.4509
0.95	-0.63146	0.45374
0.96	-0.63119	0.43242
0.97	-0.64306	0.38594
0.98	-0.66657	0.31416
0.99	-0.70086	0.21772
1	-0.74476	0.09809
1.01	-0.7968	-0.04253
1.02	-0.8553	-0.20124
1.03	-0.91836	-0.37455
1.04	-0.98398	-0.55848
1.05	-1.05007	-0.74868
1.06	-1.11453	-0.94057
1.07	-1.17529	-1.12945
1.08	-1.23036	-1.3106
1.09	-1.27788	-1.47947
1.1	-1.31614	-1.63172
1.11	-1.34363	-1.76332
1.12	-1.359	-1.87067
1.13	-1.36115	-1.9506
1.14	-1.34913	-2.00046
1.15	-1.32222	-2.0181
1.16	-1.27984	-2.00188
1.17	-1.22158	-1.9507
1.18	-1.14713	-1.8639
1.19	-1.0563	-1.74131
1.2	-0.94896	-1.58313
1.21	-0.82502	-1.38997
1.22	-0.68444	-1.16274
1.23	-0.52716	-0.90266
1.24	-0.35315	-0.61119
1.25	-0.1624	-0.29007
1.26	0.04511	0.05876
1.27	0.26933	0.43309
1.28	0.51016	0.83052
1.29	0.76739	1.24834
1.3	1.04071	1.68361
1.31	1.32958	2.13305
1.32	1.63326	2.59308
1.33	1.95076	3.05977
1.34	2.28075	3.52884
1.35	2.62159	3.99565
1.36	2.97126	4.45523
1.37	3.32735	4.90229
1.38	3.68707	5.33132
1.39	4.04724	5.7366
1.4	4.40432	6.11233
1.41	4.75445	6.4527
1.42	5.0935	6.75208
1.43	5.41712	7.00508
1.44	5.72084	7.20673
1.45	6.00014	7.35263
1.46	6.25055	7.43906
1.47	6.46775	7.46316
1.48	6.6477	7.42301
1.49	6.78669	7.31773
1.5	6.88151	7.14758
1.51	6.92949	6.91397
1.52	6.9286	6.61949
1.53	6.87752	6.2679
1.54	6.77571	5.86404
1.55	6.62343	5.41373
1.56	6.42176	4.9237
1.57	6.17258	4.40138
1.58	5.87859	3.85473
1.59	5.54322	3.29207
1.6	5.17061	2.72184
1.61	4.76546	2.15242
1.62	4.33303	1.59187
1.63	3.87893	1.04779
1.64	3.40908	0.52709
1.65	2.92953	0.03585
1.66	2.44635	-0.42081
1.67	1.96552	-0.83882
1.68	1.49277	-1.21525
1.69	1.03349	-1.54829
1.7	0.59264	-1.83726
1.71	0.17459	-2.08255
1.72	-0.21684	-2.28554
1.73	-0.57857	-2.44848
1.74	-0.90817	-2.57437
1.75	-1.20398	-2.66677
1.76	-1.46505	-2.72966
1.77	-1.69112	-2.76727
1.78	-1.88264	-2.7839
1.79	-2.04065	-2.78376
1.8	-2.16673	-2.77086
1.81	-2.26298	-2.74886
1.82	-2.33185	-2.72095
1.83	-2.37613	-2.68986
1.84	-2.39881	-2.65774
1.85	-2.40301	-2.62619
1.86	-2.39189	-2.59625
1.87	-2.36859	-2.56849
1.88	-2.33611	-2.54303
1.89	-2.29732	-2.51961
1.9	-2.25484	-2.49773
1.91	-2.21104	-2.47671
1.92	-2.16802	-2.45582
1.93	-2.12756	-2.43434
1.94	-2.09113	-2.41168
1.95	-2.05989	-2.38743
1.96	-2.03472	-2.36143
1.97	-2.01621	-2.33377
1.98	-2.0047	-2.30487
1.99	-2.0003	-2.27541
2	-2.00293	-2.24631
2.01	-2.01232	-2.21872
2.02	-2.02807	-2.19391
2.03	-2.04965	-2.17322
2.04	-2.07642	-2.15795
2.05	-2.10766	-2.14929
2.06	-2.14257	-2.14821
2.07	-2.18029	-2.1554
2.08	-2.21989	-2.17116
2.09	-2.26037	-2.19538
2.1	-2.30066	-2.22744
2.11	-2.33965	-2.26624
2.12	-2.37611	-2.31017
2.13	-2.40878	-2.3571
2.14	-2.43629	-2.40447
2.15	-2.45722	-2.44931
2.16	-2.47008	-2.48832
2.17	-2.47335	-2.518
2.18	-2.46544	-2.53467
2.19	-2.44479	-2.53469
2.2	-2.40986	-2.51447
2.21	-2.35915	-2.47067
2.22	-2.29127	-2.40025
2.23	-2.20498	-2.30062
2.24	-2.09919	-2.16971
2.25	-1.97308	-2.00604
2.26	-1.82607	-1.80882
2.27	-1.6579	-1.57794
2.28	-1.46866	-1.31405
2.29	-1.2588	-1.01852
2.3	-1.02916	-0.69347
2.31	-0.78102	-0.3417
2.32	-0.51603	0.03334
2.33	-0.23626	0.42761
2.34	0.05585	0.83655
2.35	0.35749	1.25519
2.36	0.66556	1.67824
2.37	0.97668	2.10017
2.38	1.28728	2.51533
2.39	1.59363	2.91807
2.4	1.89196	3.3028
2.41	2.17848	3.66415
2.42	2.44949	3.99701
2.43	2.70144	4.29668
2.44	2.93101	4.55889
2.45	3.13517	4.77993
2.46	3.31124	4.95669
2.47	3.45696	5.0867
2.48	3.57053	5.16822
2.49	3.65061	5.20022
2.5	3.69639	5.18244
2.51	3.70759	5.11537
2.52	3.68444	5.00026
2.53	3.62768	4.8391
2.54	3.53856	4.63458
2.55	3.41877	4.39006
2.56	3.27042	4.10948
2.57	3.09602	3.79733
